epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.3714,2.85695,1.84269,1.01194,0.46791,0.29086,0.28903,0.10234,2.7685,1.54766,0.93928,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,162.033,2.82253,1.68231,0.95464,0.48922,0.3235,0.33437,0.12304,2.64207,1.48577,0.9133,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773,0.0198232,0.00660773
3,226.348,2.83153,1.6692,0.94201,0.47754,0.31956,0.321,0.11066,2.71074,1.54301,0.91814,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959,0.0295188,0.00983959
4,288.557,2.81529,1.67218,0.93879,0.49391,0.33395,0.34113,0.11698,2.66823,1.55556,0.91358,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154,0.0293146,0.00977154
5,382.907,2.7844,1.65489,0.93423,0.49693,0.35164,0.35735,0.12448,2.63532,1.57915,0.91032,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538,0.0290862,0.00969538
6,446.774,2.74945,1.61459,0.93268,0.52753,0.35436,0.37156,0.13248,2.61465,1.4502,0.91123,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923,0.0288577,0.00961923
7,509.692,2.70562,1.58437,0.92333,0.52619,0.35557,0.37779,0.13568,2.56967,1.41818,0.90466,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308,0.0286292,0.00954308
8,572.491,2.70386,1.56231,0.91742,0.55515,0.36116,0.38488,0.13836,2.55338,1.43051,0.89859,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692,0.0284008,0.00946692
9,633.729,2.67656,1.55347,0.91683,0.52414,0.35584,0.38072,0.13863,2.53202,1.4083,0.8972,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077,0.0281723,0.00939077
10,739.554,2.66866,1.5304,0.91599,0.53331,0.37197,0.39454,0.14693,2.50614,1.38348,0.90042,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462,0.0279438,0.00931462
11,802.394,2.66517,1.54167,0.91513,0.56244,0.37089,0.40886,0.14852,2.51133,1.39115,0.891,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846,0.0277154,0.00923846
12,865.648,2.64628,1.51095,0.91016,0.58327,0.37526,0.41867,0.15647,2.47339,1.35919,0.88947,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231,0.0274869,0.00916231
13,928.029,2.62106,1.49738,0.91127,0.57635,0.37855,0.40997,0.15298,2.49983,1.36402,0.89014,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615,0.0272585,0.00908615
14,989.861,2.63375,1.51295,0.90536,0.55597,0.38714,0.41785,0.15404,2.49004,1.40458,0.88688,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
15,1052.19,2.61945,1.48166,0.90106,0.5591,0.38986,0.4213,0.15245,2.50761,1.34865,0.89603,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385,0.0268015,0.00893385
16,1114.61,2.61063,1.47578,0.90173,0.5745,0.39116,0.42258,0.1583,2.45614,1.32918,0.88527,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769,0.0265731,0.00885769
17,1176.85,2.59167,1.4702,0.90226,0.56777,0.38943,0.42186,0.1573,2.46385,1.32753,0.89137,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154,0.0263446,0.00878154
18,1239.12,2.58538,1.45345,0.90488,0.56009,0.38492,0.41587,0.15403,2.47183,1.33975,0.8899,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538,0.0261162,0.00870538
19,1301.78,2.57295,1.46327,0.90587,0.57175,0.39024,0.42459,0.15828,2.47501,1.36226,0.88846,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923,0.0258877,0.00862923
